season,episode,title,character,line
1,1,Encounter at Farpoint,PICARD,"Captain's log, stardate 41153.7. Our destination is planet Deneb Four, beyond which lies the great unexplored mass of the galaxy. My orders are to examine Farpoint, a starbase built there by the inhabitants of that world. Meanwhile, I am becoming better acquainted with my new command, this Galaxy Class USS Enterprise. I am still somewhat in awe of its size and complexity. As for my crew, we are short in several key positions, most notably a first officer, but I am informed that a highly experienced man, one Commander William Riker, will be waiting to join our ship at our Deneb Four destination."
1,1,Encounter at Farpoint,PICARD,"You will agree, Data, that Starfleet's orders are difficult?"
1,1,Encounter at Farpoint,DATA,Difficult? Simply solve the mystery of Farpoint Station.
1,1,Encounter at Farpoint,PICARD,As simple as that.
1,1,Encounter at Farpoint,TROI,Farpoint Station. Even the name sounds mysterious.
1,1,Encounter at Farpoint,PICARD,"It's hardly simple, Data, to negotiate a friendly agreement for Starfleet to use the base while at the same time snoop around finding how and why the life form there built it."
1,1,Encounter at Farpoint,DATA,Inquiry. The word snoop?
1,1,Encounter at Farpoint,PICARD,"Data, how can you be programmed as a virtual encyclopedia of human information without knowing a simple word like snoop?"
1,1,Encounter at Farpoint,DATA,"Possibility, a kind of human behavior I was not designed to emulate."
1,1,Encounter at Farpoint,PICARD,"It means to spy, to sneak."
1,1,Encounter at Farpoint,DATA,"Ah! To seek covertly, to go stealthily, to slink, slither"
1,1,Encounter at Farpoint,PICARD,"Exactly, yes."
1,1,Encounter at Farpoint,DATA,"Glide, creep, skulk, pussyfoot, gumshoe."
1,1,Encounter at Farpoint,TROI,"Captain, I'm sensing a powerful mind."
1,1,Encounter at Farpoint,TORRES,Something strange on the detector circuits.
1,1,Encounter at Farpoint,DATA,"It registers as solid, Captain."
1,1,Encounter at Farpoint,TROI,Or an incredibly powerful forcefield. But if we collide with either it could be very
1,1,Encounter at Farpoint,PICARD,Shut off that damned noise. Go to Yellow Alert.
1,1,Encounter at Farpoint,WORF,"Shields and deflectors up, sir."
1,1,Encounter at Farpoint,PICARD,"Reverse power, full stop."
1,1,Encounter at Farpoint,TORRES,"Controls to full stop, sir. Now reading full stop, sir."
1,1,Encounter at Farpoint,Q,Thou are notified that thy kind hath infiltrated the galaxy too far already. Thou art directed to return to thine own solar system immediately.
1,1,Encounter at Farpoint,PICARD,That's quite a directive. Would you mind identifying what you are?
1,1,Encounter at Farpoint,Q,We call ourselves the Q. Or thou mayst call me that. It's all much the same thing.
1,1,Encounter at Farpoint,Q,"I present myself to thee as a fellow ship captain, that thou mayst better understand me. Go back whence thou camest. Stay where thou art!"
1,1,Encounter at Farpoint,PICARD,"Data, call medics."
1,1,Encounter at Farpoint,TROI,He's frozen.
1,1,Encounter at Farpoint,PICARD,"He would not have injured you. Do you recognize this, the stun setting?"
1,1,Encounter at Farpoint,Q,"Knowing humans as thou dost, Captain, wouldst thou be captured helpless by them? Now, go back or thou shalt most certainly die."
1,1,Encounter at Farpoint,PICARD,"Captain's log, supplementary. The frozen form of Lieutenant Torres has been rushed to sickbay. The question now is the incredible power of the Q being. Do we dare oppose it?"
1,1,Encounter at Farpoint,Q,"Captain, thy little centuries go by so rapidly. Perhaps thou will better understand this."
1,1,Encounter at Farpoint,Q,"Actually, the issue at stake is patriotism. You must return to your world and put an end to the commies. All it takes is a few good men."
1,1,Encounter at Farpoint,PICARD,What? That nonsense is centuries behind us.
1,1,Encounter at Farpoint,Q,"But you can't deny that you're still a dangerous, savage child race."
1,1,Encounter at Farpoint,PICARD,"Most certainly I deny it. I agree we still were when humans wore costumes like that, four hundred years ago."
1,1,Encounter at Farpoint,Q,At which time you slaughtered millions in silly arguments about how to divide the resources of your little world. And four hundred years before that you were murdering each other in quarrels over tribal god-images. Since there are no indications that humans will ever change.
1,1,Encounter at Farpoint,PICARD,But even when we wore costumes like that we'd already started to make rapid progress.
1,1,Encounter at Farpoint,Q,Oh yeah? You want to review your rapid progress?
1,1,Encounter at Farpoint,Q,"Rapid progress, to where humans learned to control their military with drugs."
1,1,Encounter at Farpoint,WORF,"Sir, sickbay reports Lieutenant Torres's condition is better."
1,1,Encounter at Farpoint,Q,"Oh, concern for one's fellow comrade. How touching."
1,1,Encounter at Farpoint,WORF,"And now a personal request, sir. Permission to clean up the bridge."
1,1,Encounter at Farpoint,TASHA,"Lieutenant Worf is right, sir. As Security Chief I can't just stand here and let"
1,1,Encounter at Farpoint,PICARD,"Yes you can, Lieutenant Yar."
1,1,Encounter at Farpoint,Q,"Oh, better. And later, on finally reaching deep space, humans of course found enemies to fight out there too. And to broaden those struggles you again found allies for still more murdering. The same old story, all over again."
1,1,Encounter at Farpoint,PICARD,"No. The same old story is the one we're meeting now. Self-righteous life forms who are eager not to learn but to prosecute, to judge anything they don't understand or can't tolerate."
1,1,Encounter at Farpoint,Q,What an interesting idea. Prosecute and judge. Suppose it turns out we understand you humans only too well.
1,1,Encounter at Farpoint,PICARD,We've no fear of what the true facts about us will reveal.
1,1,Encounter at Farpoint,Q,"Facts about you? Splendid, splendid, Captain! You're a veritable fountain of good ideas. There are preparations to make, but when we next meet, Captain, we'll proceed exactly as you suggest."
1,1,Encounter at Farpoint,WORF,"Sir, respectfully submit our only choice is to fight."
1,1,Encounter at Farpoint,TASHA,"Fight, or try to escape."
1,1,Encounter at Farpoint,PICARD,"Sense anything, Commander?"
1,1,Encounter at Farpoint,TROI,Its mind is much too powerful. Recommend we avoid contact.
1,1,Encounter at Farpoint,PICARD,"From this point, no station aboard, repeat no station, for any reason will make use of transmitted signals or intercom. We'll try and take them by surprise. Let's see what this galaxy class starship can do. Lieutenant, inform engine room to prepare for maximum acceleration."
1,1,Encounter at Farpoint,WORF,"Aye, sir."
1,1,Encounter at Farpoint,PICARD,"Records search, Data. Results of detaching saucer section at high warp velocity."
1,1,Encounter at Farpoint,DATA,"Inadvisable at any warp speed, sir."
1,1,Encounter at Farpoint,PICARD,Search theoretical.
1,1,Encounter at Farpoint,DATA,"It is possible, sir. But absolutely no margin for error."
1,1,Encounter at Farpoint,PICARD,"Using print-out only, notify all decks to prepare for maximum acceleration. Now hear this, Maximum, you're entitled to know, means that we'll be pushing our engines well beyond safety limits. Our hope is to surprise whatever that is out there, try and outrun it. Our only other option is to tuck tail between our legs and return to Earth as they demand."
1,1,Encounter at Farpoint,WORF,"Engine room ready, sir."
1,1,Encounter at Farpoint,TROI,"The board shows green, Captain. All go."
1,1,Encounter at Farpoint,PICARD,Stand by. Engage.
1,1,Encounter at Farpoint,WORF,Velocity warp nine point two.
1,1,Encounter at Farpoint,DATA,"Heading three five one mark eleven, sir."
1,1,Encounter at Farpoint,PICARD,Steady on that.
1,1,Encounter at Farpoint,TASHA,"The hostile is now giving chase, sir. Accelerating fast."
1,1,Encounter at Farpoint,WORF,"We're now at warp nine point three, sir, which takes us past the red line, sir."
1,1,Encounter at Farpoint,PICARD,"Continue accelerating. Counselor, at this point I'm open to guesses about what we've just met."
1,1,Encounter at Farpoint,TROI,It it felt like something beyond what we'd consider a life form.
1,1,Encounter at Farpoint,PICARD,Beyond?
1,1,Encounter at Farpoint,TROI,"Very, very advanced, sir, or certainly very, very different."
1,1,Encounter at Farpoint,WORF,"We're at nine point four, sir."
1,1,Encounter at Farpoint,TASHA,"Hostile is now beginning to overtake us, sir."
1,1,Encounter at Farpoint,PICARD,Are you sure?
1,1,Encounter at Farpoint,DATA,"Hostile's velocity is already warp nine point six, sir. Shall I put them on the main viewer?"
1,1,Encounter at Farpoint,PICARD,Reverse angle.
1,1,Encounter at Farpoint,DATA,Magnifying viewer image.
1,1,Encounter at Farpoint,TASHA,"Hostile's velocity is nine point seven, sir."
1,1,Encounter at Farpoint,PICARD,"Worf, inform the engine room we need more."
1,1,Encounter at Farpoint,DATA,"Engine room attempting to comply, sir, but they caution us"
1,1,Encounter at Farpoint,PICARD,Go to yellow alert. Arm aft photon torpedoes. Place them on ready status.
1,1,Encounter at Farpoint,TASHA,"Torpedoes to ready, sir."
1,1,Encounter at Farpoint,TASHA,"Hostile now at warp nine point eight, sir."
1,1,Encounter at Farpoint,WORF,"Our velocity is only nine point five, sir."
1,1,Encounter at Farpoint,DATA,"Projection, sir. We may be able to match hostile's nine point eight, sir. But at extreme risk."
1,1,Encounter at Farpoint,TASHA,"Now reading the hostile at warp nine point nine, sir."
1,1,Encounter at Farpoint,PICARD,"Now hear this. Print-out message, urgent, all stations on all decks. Prepare for emergency saucer sever. You will command the saucer section, Lieutenant."
1,1,Encounter at Farpoint,WORF,"I am a Klingon, sir. For me to seek escape when my Captain goes into battle."
1,1,Encounter at Farpoint,PICARD,"You are a Starfleet officer, Lieutenant."
1,1,Encounter at Farpoint,WORF,"Aye, sir."
1,1,Encounter at Farpoint,PICARD,"Make the mark, Data. Note in ship's log that at this startime, I'm transferring command to the battle bridge."
1,1,Encounter at Farpoint,PICARD,"Captain's log, stardate 41153.7. Preparing to detach saucer section. so that families and the majority of the ship's company can seek relative safety while the vessel's stardrive, containing the battle bridge and main armaments, will turn back and confront the mystery that is threatening us."
1,1,Encounter at Farpoint,PICARD,"Lieutenant, your torpedoes must detonate close enough to the hostile to blind it at the moment we separate."
1,1,Encounter at Farpoint,TASHA,"Understood, sir."
1,1,Encounter at Farpoint,TROI,"All decks acknowledging, sir."
1,1,Encounter at Farpoint,PICARD,"Worf, this is the Captain."
1,1,Encounter at Farpoint,PICARD,"At the moment of separation, we will reverse power just enough to get your saucer section out ahead and clear of us."
1,1,Encounter at Farpoint,WORF,"Understood, Captain."
1,1,Encounter at Farpoint,TASHA,"Torpedoes away, sir."
1,1,Encounter at Farpoint,PICARD,Begin countdown. Mark.
1,1,Encounter at Farpoint,DATA,"Starship separation in six, five, four, three, two, one."
1,1,Encounter at Farpoint,DATA,"Separation is successful, sir."
1,1,Encounter at Farpoint,TASHA,"Torpedoes have detonated, sir."
1,1,Encounter at Farpoint,PICARD,Let's come to a stop. Reverse power.
1,1,Encounter at Farpoint,DATA,Reverse power. Decelerating.
1,1,Encounter at Farpoint,PICARD,Dead stop. We'll hold this position and wait for them.
1,1,Encounter at Farpoint,TROI,"That will bring them here in just minutes, sir."
1,1,Encounter at Farpoint,TASHA,"Will we make a fight of it, Captain? If we can at least damage their ship we'll have a chance"
1,1,Encounter at Farpoint,PICARD,"Lieutenant, are you recommending we fight a life form that can do all those things? I'd like to hear your advice."
1,1,Encounter at Farpoint,TASHA,"I spoke before I thought, sir. We should look for some way to distract them from going after the saucer."
1,1,Encounter at Farpoint,O'BRIEN,"All forward motion stopped, sir."
1,1,Encounter at Farpoint,PICARD,"Thank you, conn. Commander, signal the following in all languages and on all frequencies. We surrender. State that we are not asking for any terms or conditions."
1,1,Encounter at Farpoint,TROI,"Aye, sir. All language forms and frequencies."
1,1,Encounter at Farpoint,BAILIFF,The prisoners will all stand.
1,1,Encounter at Farpoint,DATA,"Historically intriguing, Captain. Very, very accurate."
1,1,Encounter at Farpoint,PICARD,Mid twenty first century. The post-atomic horror.
1,1,Encounter at Farpoint,BAILIFF,"All present, stand and make respectful attention to honored Judge."
1,1,Encounter at Farpoint,TROI,"Careful, sir. This is not an illusion or a dream."
1,1,Encounter at Farpoint,PICARD,But these courts happened in the past.
1,1,Encounter at Farpoint,TROI,"I don't understand either, but this is real."
1,1,Encounter at Farpoint,SOLDIER,"Get to your feet, criminals!"
1,1,Encounter at Farpoint,DATA,"At least we are acquainted with the judge, Captain."
1,1,Encounter at Farpoint,SOLDIER,Attention! On your feet. Attention!
1,1,Encounter at Farpoint,Q,You are out of order. The prisoners will not be harmed until they are found guilty. Dispose of that.
1,1,Encounter at Farpoint,PICARD,Can we assume you mean this will be a fair trial?
1,1,Encounter at Farpoint,Q,"Yes, absolutely equitable. Proceed."
1,1,Encounter at Farpoint,BAILIFF,"Before this gracious court now appear these prisoners to answer for the multiple and grievous savageries of their species. How plead you, criminal?"
1,1,Encounter at Farpoint,DATA,"If I may, Captain? Objection, your honor. In the year 2036, the new United Nations declared that no Earth citizen could be made to answer for the crimes of his race or forbears."
1,1,Encounter at Farpoint,Q,"Objection denied. This is a court of the year 2079, by which time more rapid progress had caused all United Earth nonsense to be abolished."
1,1,Encounter at Farpoint,PICARD,"Tasha, no."
1,1,Encounter at Farpoint,TASHA,"I must! Because I grew up on a world that allowed things like this court. And it was people like these that saved me from it. This so-called court should get down on its knees to what Starfleet is, what it represents."
1,1,Encounter at Farpoint,TROI,You barbarian! This woman
1,1,Encounter at Farpoint,BAILIFF,Criminals keep silence!
1,1,Encounter at Farpoint,PICARD,You've got a lot to learn about humans if you think you can torture us or frighten us into silence. Will she live?
1,1,Encounter at Farpoint,DATA,"Uncertain. When he froze Lieutenant Torres on the Bridge, we had our Sickbay to help thaw him out."
1,1,Encounter at Farpoint,BAILIFF,"You will answer the charges, criminals."
1,1,Encounter at Farpoint,PICARD,Or what? Or this? Her death? Or worse? You promised the prisoners will not be harmed. We plead nothing so long as you break your own rules.
1,1,Encounter at Farpoint,Q,"I suggest you center your attention on this trial, Captain. It may be your only hope."
1,1,Encounter at Farpoint,PICARD,"I suggest you are now having second thoughts it. You are considering that if you conduct a fair trial, which was your promise, you may lose."
1,1,Encounter at Farpoint,Q,Lose?
1,1,Encounter at Farpoint,PICARD,"Yes, even though you're judge and prosecutor."
1,1,Encounter at Farpoint,Q,And jury.
1,1,Encounter at Farpoint,PICARD,"Accepted, so long as you keep to your agreement. And assaulting prisoners is hardly a fair trial."
1,1,Encounter at Farpoint,Q,"This is a merciful court. Silence! Continuing these proceedings, I must caution you that legal trickery is not permitted. This is a court of"
1,1,Encounter at Farpoint,PICARD,"court of fact! We humans know our past, even when we're ashamed of it. I recognize this court system as the one that agreed with that line from Shakespeare. Kill all the lawyers."
1,1,Encounter at Farpoint,Q,Which was done.
1,1,Encounter at Farpoint,PICARD,Which led to the rule guilty until proven innocent.
1,1,Encounter at Farpoint,Q,Of course. Bringing the innocent to trial would be unfair. You will now answer to the charge of being a grievously savage race.
1,1,Encounter at Farpoint,PICARD,Grievously savage could mean anything. I will answer only specific charges.
1,1,Encounter at Farpoint,Q,"Are you certain you want a full disclosure of human ugliness? So be it, fool! Present the charges."
1,1,Encounter at Farpoint,BAILIFF,"Criminal, you will read the charges to the court."
1,1,Encounter at Farpoint,PICARD,"I see no charges against us, Your Honor."
1,1,Encounter at Farpoint,Q,You are out of order!
1,1,Encounter at Farpoint,Q,"Soldiers, you will press those triggers if this criminal answers with any word other than guilty. Criminal, how plead you?"
1,1,Encounter at Farpoint,PICARD,Guilty. Provisionally.
1,1,Encounter at Farpoint,Q,The Court will hear the provision.
1,1,Encounter at Farpoint,PICARD,We question whether this court is abiding by its own trial instructions. Have I have permission to have Commander Data repeat the record?
1,1,Encounter at Farpoint,Q,There will be no legal trickery
1,1,Encounter at Farpoint,PICARD,"These will be your own words, your Honor. What exactly what followed his Honor's statement that the prisoner will not be harmed?"
1,1,Encounter at Farpoint,DATA,"Yes, sir. The Captain had asked the question. Can we assume you mean this will be a fair trial? And in reply the judge stated, yes, absolutely equitable."
1,1,Encounter at Farpoint,Q,"Irrelevant testimony, entirely irrelevant."
1,1,Encounter at Farpoint,PICARD,Alright! We agree there is evidence to support the court's contention that humans have been savage. Therefore I say test us. Test whether this is presently true of humans.
1,1,Encounter at Farpoint,Q,"I see, I see. And so you petition the Court to accept you and your comrades as proof of what humanity has become."
1,1,Encounter at Farpoint,PICARD,There must be many ways we can be tested. We have a long mission ahead of us.
1,1,Encounter at Farpoint,Q,"Another brilliant suggestion, Captain. But your test hardly requires a long mission. Your immediate destination offers far more challenge than you can possibly imagine. Yes, this Farpoint station will be an excellent test."
1,1,Encounter at Farpoint,BAILIFF,"All present, respectfully stand."
1,1,Encounter at Farpoint,Q,"This trial is adjourned, to allow the criminals to be tested."
1,1,Encounter at Farpoint,BAILIFF,This honorable court is adjourned. Stand respectfully.
1,1,Encounter at Farpoint,Q,"Captain, you may find you are not nearly clever enough to deal with what lies ahead for you. It may have been better to accept sentence here."
1,1,Encounter at Farpoint,DATA,"What is present course, conn?"
1,1,Encounter at Farpoint,O'BRIEN,"It's what it's been all along, sir. Direct heading to Farpoint Station."
1,1,Encounter at Farpoint,DATA,"Confirm. We are on that heading, sir."
1,1,Encounter at Farpoint,O'BRIEN,"Know anything about Farpoint Station, sir? Sounds like a fairly dull place."
1,1,Encounter at Farpoint,PICARD,"We've heard that we may find it rather interesting. Personal log, Commander William Riker. Stardate 41153.7. The USS Hood has dropped me off at Farpoint Station, where I await the arrival of the new USS Enterprise to which I have been assigned as First Officer. Meanwhile I have been asked to visit the Farpoint Administrator's Office, in the old city."
1,1,Encounter at Farpoint,ZORN,"Ah, Commander Riker, I thought you'd want to know we've still no word from your vessel. I trust we made your waiting comfortable?"
1,1,Encounter at Farpoint,RIKER,Luxurious is more like it.
1,1,Encounter at Farpoint,ZORN,Good. Good.
1,1,Encounter at Farpoint,RIKER,Would I seem ungrateful if I ask for some information?
1,1,Encounter at Farpoint,ZORN,Anything.
1,1,Encounter at Farpoint,RIKER,"Fascinating, the advanced materials used in constructing this space station. Your energy supply must be as abundant as I've heard."
1,1,Encounter at Farpoint,ZORN,Geothermal energy is the one great blessing of this planet. I'll have all the details of that sent to your quarters.
1,1,Encounter at Farpoint,RIKER,"Thank you. But it still seems incredible to me that you could have constructed this station so rapidly and so, so perfectly suited to our needs."
1,1,Encounter at Farpoint,ZORN,"Would your care for an Earth delicacy, Commander?"
1,1,Encounter at Farpoint,RIKER,If there's an apple?
1,1,Encounter at Farpoint,ZORN,"I'm sorry, Commander."
1,1,Encounter at Farpoint,RIKER,It doesn't matter. What I was saying was I'll be damned.
1,1,Encounter at Farpoint,ZORN,"Ah yes, there was another selection here"
1,1,Encounter at Farpoint,RIKER,"Groppler, I could have sworn it wasn't here a minute ago."
1,1,Encounter at Farpoint,ZORN,And did your failure to notice it make it unwelcome?
1,1,Encounter at Farpoint,RIKER,"Not at all, Groppler."
1,1,Encounter at Farpoint,ZORN,"I trust it will be the same with Farpoint Station, Commander. A few easily answered questions about it won't make Starfleet appreciate it less."
1,1,Encounter at Farpoint,RIKER,"And it's delicious. Thank you. Good morning, Groppler Zorn."
1,1,Encounter at Farpoint,ZORN,Good morning.
1,1,Encounter at Farpoint,ZORN,"You have been told not to do that. Why can't you understand? It will arouse their suspicion. And if that happens, we will have to punish you. We will, I promise you."
1,1,Encounter at Farpoint,RIKER,Doctor Crusher!
1,1,Encounter at Farpoint,WESLEY,"Mother, it's Commander Riker."
1,1,Encounter at Farpoint,RIKER,"Hello, Wes. Enjoying Farpoint Station?"
1,1,Encounter at Farpoint,WESLEY,"Yes, sir."
1,1,Encounter at Farpoint,RIKER,I saw you. I thought I might join you for a stroll.
1,1,Encounter at Farpoint,CRUSHER,"Actually, we were about to do some shopping."
1,1,Encounter at Farpoint,RIKER,I've been meaning to visit the mall myself.
1,1,Encounter at Farpoint,CRUSHER,Of course.
1,1,Encounter at Farpoint,WESLEY,"If you're wondering about Mom, Commander Riker, she's not unfriendly. She's just shy around men she doesn't know."
1,1,Encounter at Farpoint,CRUSHER,Wesley! I believe that means he would like us to be friends.
1,1,Encounter at Farpoint,RIKER,"I'm willing, Doctor. Although we're not officially part of the Enterprise, I thought there might be something useful we can do while we wait."
1,1,Encounter at Farpoint,CRUSHER,"Useful? How, Commander?"
1,1,Encounter at Farpoint,RIKER,Investigating some things that I've noticed since I've been here. The last was a piece of fruit.
1,1,Encounter at Farpoint,CRUSHER,"Gold would be lovely with this. I am sure, Commander, there are reasons for a first officer to want to demonstrate his energy and alertness to a new captain. But since my duty and interests are outside the command structure"
1,1,Encounter at Farpoint,RIKER,Isn't it remarkable they happen to have exactly what you asked for?
1,1,Encounter at Farpoint,CRUSHER,Thank you. I'll take the entire bolt. Send it to our starship when it arrives. Charge to Doctor Crusher.
1,1,Encounter at Farpoint,RIKER,"Let's see, where were we?"
1,1,Encounter at Farpoint,CRUSHER,I was accusing you of inventing work in order to curry favor with our new captain. I apologize.
1,1,Encounter at Farpoint,WESLEY,"Mom, that gold pattern wasn't there."
1,1,Encounter at Farpoint,CRUSHER,Maybe this is something Jean-Luc would like looked into.
1,1,Encounter at Farpoint,RIKER,Jean-Luc Picard? You know the Captain?
1,1,Encounter at Farpoint,WESLEY,"When I was little, he brought my father's body home to us."
1,1,Encounter at Farpoint,CRUSHER,"Yes, Wes, long, long ago. A pleasure to meet you, Commander. You will excuse us."
1,1,Encounter at Farpoint,RIKER,"My pleasure, Doctor. Wes."
1,1,Encounter at Farpoint,WESLEY,Sir?
1,1,Encounter at Farpoint,RIKER,See you on board.
1,1,Encounter at Farpoint,WESLEY,"Yes, sir."
1,1,Encounter at Farpoint,LAFORGE,"Sir, the Enterprise is arriving"
1,1,Encounter at Farpoint,RIKER,"Is this an official report, Lieutenant?"
1,1,Encounter at Farpoint,LAFORGE,"Sorry, Commander. Sir, Lieutenant La Forge reporting. The Enterprise arriving, but without the saucer section, sir."
1,1,Encounter at Farpoint,RIKER,Stardrive section only? What happened?
1,1,Encounter at Farpoint,LAFORGE,"I don't know, sir. Captain Picard has signaled for you to beam up immediately."
1,1,Encounter at Farpoint,RIKER,"Our new captain doesn't waste time. It's a good idea. Thank you, Lieutenant."
1,1,Encounter at Farpoint,LAFORGE,"Aye, sir."
1,1,Encounter at Farpoint,RIKER,"Enterprise, this is Commander Riker at Farpoint Station. Standing by to beam up."
1,1,Encounter at Farpoint,TASHA,"Lieutenant Yar of Security, sir. Captain Picard will see you on the Battle Bridge."
1,1,Encounter at Farpoint,RIKER,"With the saucer gone, I assume something interesting happened on your way here?"
1,1,Encounter at Farpoint,TASHA,"Battle bridge. That's for the Captain to explain, sir."
1,1,Encounter at Farpoint,PICARD,Do we have clearance?
1,1,Encounter at Farpoint,DATA,"Aye, sir, into the standard parking orbit."
1,1,Encounter at Farpoint,PICARD,Make it so.
1,1,Encounter at Farpoint,TASHA,"Commander Riker, sir."
1,1,Encounter at Farpoint,RIKER,"Riker, WT, reporting as ordered, sir."
1,1,Encounter at Farpoint,PICARD,Is the viewer ready?
1,1,Encounter at Farpoint,TASHA,"All set up, sir."
1,1,Encounter at Farpoint,PICARD,"We'll first bring you up to date on a little adventure we had on our way here, Commander. Then we'll talk. Welcome aboard."
1,1,Encounter at Farpoint,TASHA,"This way, sir."
1,1,Encounter at Farpoint,Q,"Thou art directed to return to thine own solar system immediately. Go back or thou shalt most certainly die. You can't deny you're still a dangerous, savage, child race."
1,1,Encounter at Farpoint,DATA,"Message from the saucer module, sir. It will arrive here in fifty one minutes."
1,1,Encounter at Farpoint,PICARD,Inform them we'll connect as soon as they arrive. And sent the Commander to me when he's finished.
1,1,Encounter at Farpoint,TASHA,"Yes, sir."
1,1,Encounter at Farpoint,Q,"And four hundred years before that, you were murdering each other in quarrels over tribal god images. Since then there are no indications that humans will ever change. There are preparations to make, and when we next meet, Captain, we'll proceed exactly as you suggest."
1,1,Encounter at Farpoint,RIKER,He calls that a little adventure?
1,1,Encounter at Farpoint,PICARD,Come.
1,1,Encounter at Farpoint,RIKER,"Not exactly a run of the mill happening, Captain."
1,1,Encounter at Farpoint,PICARD,It seems we're alive only because we have been placed on probation. A very serious kind of probation. Go.
1,1,Encounter at Farpoint,DATA,"The saucer module is now entering orbit with us, sir."
1,1,Encounter at Farpoint,PICARD,Acknowledged. Commander Riker will conduct a manual docking. Picard out.
1,1,Encounter at Farpoint,RIKER,Sir?
1,1,Encounter at Farpoint,PICARD,"You've reported in, haven't you? You are qualified?"
1,1,Encounter at Farpoint,RIKER,"Yes, sir."
1,1,Encounter at Farpoint,PICARD,"Then I mean now, Commander."
1,1,Encounter at Farpoint,DATA,"They say you will be doing this manually, sir. No automation."
1,1,Encounter at Farpoint,RIKER,As ordered.
1,1,Encounter at Farpoint,RIKER,"Velocity to one half meter per second. Adjust pitch angle, negative three degrees. Watch your roll angle, conn. All stations, prepare for reconnection. Thrusters to station keeping. All velocity zero. Her inertia should do the job now. Lock up now."
1,1,Encounter at Farpoint,PICARD,A fairly routine maneuver but you handled it quite well.
1,1,Encounter at Farpoint,RIKER,"Thank you, sir. I hope I showed some promise."
1,1,Encounter at Farpoint,PICARD,I do have some questions for you though.
1,1,Encounter at Farpoint,RIKER,"Yes, sir, I thought you might."
1,1,Encounter at Farpoint,PICARD,"I see in your file that Captain DeSoto thinks very highly of you. One curious thing, however, you refused to let him beam down to Altair Three."
1,1,Encounter at Farpoint,RIKER,"In my opinion, sir, Altair Three was too dangerous to risk exposing the Captain."
1,1,Encounter at Farpoint,PICARD,I see. A Captain's rank means nothing to you.
1,1,Encounter at Farpoint,RIKER,"Rather the reverse, sir. But a Captain's life means a great deal to me."
1,1,Encounter at Farpoint,PICARD,Isn't it just possible that you don't get to be a Starfleet Captain without knowing whether it's safe to beam down or not? Isn't it a little presumptuous of a first officer to second guess his captain's judgment?
1,1,Encounter at Farpoint,RIKER,"Permission to speak candidly, sir?"
1,1,Encounter at Farpoint,PICARD,Always.
1,1,Encounter at Farpoint,RIKER,"Having been a first officer yourself, you know that assuming that responsibility must by definition include the safety of the captain. I have no problem with following any rules you lay down, short of compromising your safety."
1,1,Encounter at Farpoint,PICARD,And you don't intend to back off that position?
1,1,Encounter at Farpoint,RIKER,"No, sir,"
1,1,Encounter at Farpoint,PICARD,One further thing. A special favor.
1,1,Encounter at Farpoint,RIKER,"Anything, sir."
1,1,Encounter at Farpoint,PICARD,"Using the same kind of strength you showed with Captain DeSoto, I would appreciate it if you can keep me from making an ass of myself with children."
1,1,Encounter at Farpoint,RIKER,Sir?
1,1,Encounter at Farpoint,PICARD,"I'm not a family man, Riker, and yet, Starfleet has given me a ship with children aboard."
1,1,Encounter at Farpoint,RIKER,"Yes, sir."
1,1,Encounter at Farpoint,PICARD,"And I don't feel comfortable with children. But, since a captain needs an image of geniality, you're to see that's what I project."
1,1,Encounter at Farpoint,RIKER,"Aye, sir."
1,1,Encounter at Farpoint,PICARD,"Welcome to the Enterprise, Commander Riker."
1,1,Encounter at Farpoint,CRUSHER,Naturally I've heard of your case. The visor implants you wear
1,1,Encounter at Farpoint,LAFORGE,"Is a remarkable piece of bio-electronic engineering by which I quote see much of the EM spectrum ranging from simple heat and infrared through radio waves et cetera, et cetera, and forgive me if I've said and listened to this a thousand times before."
1,1,Encounter at Farpoint,CRUSHER,You've been blind all your life?
1,1,Encounter at Farpoint,LAFORGE,I was born this way.
1,1,Encounter at Farpoint,CRUSHER,And you've felt pain all the years that you've used this?
1,1,Encounter at Farpoint,LAFORGE,They say it's because I use my natural sensors in different ways.
1,1,Encounter at Farpoint,CRUSHER,"Well, I see two choices. The first is painkillers."
1,1,Encounter at Farpoint,LAFORGE,Which would affect how this works. No. Choice number two?
1,1,Encounter at Farpoint,CRUSHER,Exploratory surgery. Desensitize the brain areas troubling you.
1,1,Encounter at Farpoint,LAFORGE,"Same difference. No, thank you, Doctor."
1,1,Encounter at Farpoint,CRUSHER,I understand.
1,1,Encounter at Farpoint,LAFORGE,See you.
1,1,Encounter at Farpoint,WORF,Yes sir?
1,1,Encounter at Farpoint,RIKER,Where will I find Commander Data?
1,1,Encounter at Farpoint,WORF,"Commander Data is on special assignment, sir. He's using our shuttlecraft to transfer an admiral over to the Hood."
1,1,Encounter at Farpoint,RIKER,An admiral?
1,1,Encounter at Farpoint,WORF,"He's been aboard all day, sir, checking over medical layout."
1,1,Encounter at Farpoint,RIKER,Why a shuttlecraft? Why wouldn't he just beam over?
1,1,Encounter at Farpoint,WORF,"I suppose he could, sir, but the Admiral's a rather remarkable man."
1,1,Encounter at Farpoint,MCCOY,"Have you got some reason you want my atoms scattered all over space, boy?"
1,1,Encounter at Farpoint,DATA,"No sir. But at your age, sir, I thought you shouldn't have to put up with the time and trouble of a shuttlecraft."
